Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
409.0191,9.52,1,1,1,346553,386672,264490
806.6629,1.75,56015,57080,66159,833633,815553,826659
532.3432,1.27,924590,726848,968417,1111961,832512,859000
83.0372,7.96,254486,255128,238328,153064,172266,82797
649.4317,1.9,704734,518158,451511,123084,109543,97881
650.0995,9.56,400350,464440,467742,232915,285178,190278
401.2246,1.75,1,1,1,1037,1,1
842.5144,7.13,350171,367821,376775,383867,590565,521808
688.5528,1.78,573693,554446,555005,601257,609866,565118
146.0731,1.23,1,439,278848,1,268933,228687
404.0025,9.06,436822,404075,429986,27285,38166,26746
250.1783,1.43,145370,145384,108641,108087,104595,102479
424.3572,1.27,819534,1,94928,45263,24517,1
535.5689,1.59,252499,270784,345706,420453,420934,405180
176.1525,7.84,272240,330247,318158,291283,318529,257117
308.0814,9.55,1,10896,17980,250649,428715,275342
437.3715,1.48,311408,465649,502759,444861,509577,417714
799.608,1.77,1,1,1,1,1,1
710.5939,3.2,1,1,1,856327,898887,791909
886.5542,5.62,1090112,1040512,1291890,473584,447931,456123
374.1941,1.29,15732,3172,381914,9356,367760,353039
317.1334,8.56,883509,468316,588405,259940,685645,516693
364.0983,8.55,313596,1,332198,1,282076,372356
924.5176,7.13,300714,311852,345479,342999,547591,475746
713.5539,1.78,385742,1203460,301479,844708,835122,807807
443.3254,1.3,25750,18862,25030,8849,29341,27996
494.4196,1.43,453231,278631,916208,610131,594562,532021
399.3349,1.79,641712,440746,392330,630754,1,1
327.2772,2.17,493860,421201,360392,371586,354992,278347
283.1992,1.41,339177,376893,284410,316881,326091,324411
387.391,2.03,455788,525429,282478,430556,483907,264392
269.9957,7.13,282871,315275,291079,263397,380359,348784
185.0694,8.87,266845,310950,273347,72356,108498,55292
908.5395,5.63,605872,613634,566848,156868,117014,133709
497.3918,1.51,403487,431500,360106,432394,410278,431807
149.0509,6.88,255387,275647,239881,171294,237336,124416
303.2925,1.52,363921,208499,193463,284600,337265,307686
1274.0105,7.13,273607,283654,293389,323005,433359,387699
694.5607,1.77,757267,1,407002,705186,809969,966975
411.3818,1.26,339125,135024,301288,98521,74136,83313
481.3976,1.49,407962,479792,275851,456920,373123,425379
790.6804,1.77,127208,110718,110489,453244,470932,496567
348.2873,1.47,305324,335713,436856,321619,421700,545028
858.523,5.77,453110,523844,459432,85740,32033,40206
445.2308,1.24,354675,1,401783,2300,355393,337710
668.1259,8.73,1,964,1744,432009,471782,345150
1006.5228,7.13,247668,272190,292346,283497,488722,416589
479.2728,1.3,7815,661,379766,2311,338797,334824
1644.0092,7.12,348593,209613,371535,192700,220086,271766
604.5409,5.72,416515,479621,397497,1,140040,108273
462.123,1.21,23790,29204,32708,32654,22849,32480
801.5079,7.17,217057,95128,248923,60500,587736,818708
308.044,7.15,223463,209197,237122,212611,75157,163507
700.552,3.22,504050,621571,508043,287556,286124,272116
416.3974,2.53,376114,392942,327637,281047,65800,354201
492.2179,1.23,1,527,211040,1,225123,180780
612.0974,8.87,735,1,845,491591,553519,445233
716.6168,1.78,1,1,1,667972,702166,626837
355.3063,2.11,457949,421494,404015,10948,1,502424
689.502,1.78,2652928,2362041,2648351,481583,621509,612745
455.9348,9.66,19066,225328,182810,23904,140810,115721
732.6192,1.77,1,294873,1,417933,406558,359188
208.0947,6.72,10984,10007,7696,13831,6689,1
338.2817,1.49,257407,288146,253432,71532,78570,82148
